label	SiteClass	rdir.Before	rdir.After	adult.Before	adult.After	diam.Before	diam.After
I01	Impact	563631.1151	873260.4206	1	1	25.07	25.57
I02	Impact	344140.2044	735886.5402	1	1	17.57	18.07
I03	Impact	457504.2113	850729.1076	0	3	6.46	6.96
I04	Impact	539521.8572	933025.3725	1	2	8.44	8.94
I05	Impact	286999.8622	573472.6383	1	1	20.72	21.22
I06	Impact	986473.799	1256812.681	0	3	17.78	18.28
I07	Impact	484848.2734	1044390.935	0	1	9.08	9.58
I08	Impact	400520.4055	876146.206	1	1	18.24	18.74
I09	Impact	384175.2474	670110.4828	1	1	18.56	19.06
I10	Impact	272426.4016	451714.201	1	1	10.22	10.72
C01	Control	444089.73	444089.73	1	1	21.84	22.34
C02	Control	436552.24	436552.24	1	1	19.37	19.87
C03	Control	406656.22	406656.22	1	1	18.87	19.37
C04	Control	581561.32	592849.86	0	1	17.7	18.2
C05	Control	721164.29	721164.29	0	0	13.5	14
C06	Control	656269.37	656269.37	0	0	13.03	13.53
C07	Control	457385.69	457385.69	0	1	11.62	12.12
C08	Control	632215.14	632215.14	0	1	11.15	11.65
C09	Control	470962.38	470962.38	1	1	10.93	11.43
C10	Control	967075.7	967075.7	0	0	9.64	10.14
