Plot	Reproductive_after	cones_after	seedlings18	seedlings19	dir_after	diff_after	pinhal_after	flowlines
D1T1	1	10000	2	1	1203798.421	325282.5872	8.33	18.732
D1T2	1	3000	0	0	873260.4206	283327.7242	0	18.696
D1T3	1	1500	0	1	1028474.338	271457.7338	42.67	10.768
D2T1	1	8000	0	25	735886.5402	267840.179	0	14.58
D2T2	3	400	0	2	850729.1076	275984.0849	4.83	5.996
D2T3	2	100	0	1	933025.3725	290606.7954	8.17	5.256
D3T1	3	2000	2	13	1017365.415	260374.3777	13.67	15.988
D3T2	1	1000	0	42	573472.6383	284076.6084	18.33	48.948
D3T3	1	3000	19	68	725495.3941	260589.0896	25	200.924
D4T1	3	4350	0	39	1256812.681	313456.6878	4.17	92.832
D4T2	2	1600	2	0	1284933.298	333616.9691	6.83	25.384
D5T1	1	120	1	0	1044390.935	281893.8633	0.25	58.152
D5T2	1	800	1	5	876146.206	278503.3374	0	25.912
D6T1	1	200	0	0	457385.6884	136819.1613	50	14.476
D6T2	1	4000	0	45	670110.4828	270634.8749	2.5	28.332
D6T3	1	500	0	12	508102.0648	245382.5564	28	85.88
D6T4	2	2500	5	116	701482.1728	283161.7277	17.5	8.156
D6T5	1	0	0	0	451714.201	251483.3056	23.33	98.3
D6T6	1	1000	9	41	977256.2731	292812.82	4.17	9.968
