Plot	tetart_before	cones_before	pinhal_before	dir_before	diff_before	flowlines	Reproductive_before
D1T1	7	2000	34.75	837021.609	224299.9092	18.732	1
D1T2	1	1500	33.94	563631.1151	177371.7191	18.696	1
D1T3	1	500	52	759124.1499	198800.3409	10.768	1
D2T1	8	300	53.75	344140.2044	124368.97	14.58	1
D2T2	6	0	63.38	457504.2113	146143.1339	5.996	0
D2T3	4	300	35.13	539521.8572	167926.7504	5.256	1
D3T1	19	1000	36.13	728389.748	190681.3478	15.988	3
D3T2	1	0	45.06	286999.8622	158118.0603	48.948	1
D3T3	2	4000	65.13	399307.4497	143197.0427	200.924	1
D4T1	7	0	27.63	986473.799	243818.5378	92.832	0
D4T2	19	400	26.19	837678.2783	219417.9281	25.384	1
D5T1	1	0	59	484848.2734	129963.9723	58.152	0
D5T2	1	0	67	400520.4055	124368.6488	25.912	1
D6T1	1	0	47.5	457385.6884	136819.1613	14.476	0
D6T2	1	800	29.63	384175.2474	165071.8833	28.332	1
D6T3	2	100	60	282615.4432	133678.6136	85.88	1
D6T4	6	0	45.63	367874.7303	147949.6984	8.156	2
D6T5	1	0	49.88	272426.4016	154353.3752	98.3	1
D6T6	5	5000	41.5	580959.8668	171532.409	9.968	1
