nPlot	CodeTetra	Reproductive16	Reproductive18	diameter16	diameter18
D1T1	1	1	1	31.29	31.79
D1T1	2	0	0	0.55	1.05
D1T1	3	0	0	6.65	7.15
D1T1	4	0	0	3.72	4.22
D1T1	5	0	0	0.51	1.01
D1T1	6	0	0	0.67	1.17
D1T1	7	0	0	5.12	5.62
D1T1	8	NA	0	NA	0.02
D1T1	9	NA	0	NA	0.02
D1T2	1	1	1	25.07	25.57
D1T3	1	1	1	29.44	29.94
D2T1	1	1	1	17.57	18.07
D2T1	2	0	0	0.14	0.64
D2T1	3	0	0	0.66	1.16
D2T1	4	0	0	0.27	0.77
D2T1	5	0	0	0.2	0.7
D2T1	6	0	0	0.54	1.04
D2T1	7	0	0	0.24	0.74
D2T1	8	0	0	5.41	5.91
D2T2	1	0	0	6.46	6.96
D2T2	2	0	0	1.25	1.75
D2T2	3	0	1	8.81	9.31
D2T2	4	0	0	3.92	4.42
D2T2	5	0	1	11.55	12.05
D2T2	6	0	1	11.3	11.8
D2T3	1	1	1	8.44	8.94
D2T3	2	0	1	13.78	14.28
D2T3	3	0	0	3.56	4.06
D2T3	4	0	0	3.66	4.16
D3T1	1	1	1	45.61	46.11
D3T1	2	0	0	1.88	2.38
D3T1	3	0	0	14.1	14.6
D3T1	4	1	1	16.07	16.57
D3T1	5	0	0	0.81	1.31
D3T1	6	0	0	0.64	1.14
D3T1	7	0	0	3.84	4.34
D3T1	8	NA	0	NA	0.44
D3T1	9	NA	0	NA	0.31
D3T1	10	0	0	0.390456	0.93
D3T1	11	1	1	15.98	16.48
D3T1	12	0	0	4.52	5.02
D3T1	13	0	0	7.45	7.95
D3T1	14	0	0	5.32	5.82
D3T1	15	NA	0	NA	0.52
D3T1	16	0	0	0.25	0.75
D3T1	17	0	0	0.22	0.72
D3T1	18	0	0	1.04	1.54
D3T1	19	0	0	7.91	8.41
D3T1	20	0	0	7.32	7.86
D3T1	21	0	0	0.23	0.73
D3T2	1	1	1	20.72	21.22
D3T3	1	1	1	27.09	27.59
D3T3	2	0	0	0.64	1.14
D3T3	3	NA	0	NA	0.02
D3T3	4	NA	0	NA	0.02
D3T3	5	NA	0	NA	0.02
D3T3	6	NA	0	NA	0.02
D3T3	7	NA	0	NA	0.02
D3T3	8	NA	0	NA	0.02
D3T3	9	NA	0	NA	0.02
D3T3	10	NA	0	NA	0.02
D3T3	11	NA	0	NA	0.02
D3T3	12	NA	0	NA	0.02
D3T3	13	NA	0	NA	0.02
D3T3	14	NA	0	NA	0.02
D3T3	15	NA	0	NA	0.02
D3T3	16	NA	0	NA	0.02
D3T3	17	NA	0	NA	0.02
D3T3	18	NA	0	NA	0.02
D3T3	19	NA	0	NA	0.02
D3T3	20	NA	0	NA	0.02
D3T3	21	NA	0	NA	0.02
D4T1	1	0	1	17.78	18.28
D4T1	2	0	1	12.13	12.63
D4T1	3	0	0	0.57	1.07
D4T1	4	0	1	14.67	15.17
D4T1	5	0	0	1.6	2.1
D4T1	6	0	0	0.97	1.47
D4T1	7	0	0	0.66	1.16
D4T2	1	1	1	27.12	27.62
D4T2	2	0	0	4.04	4.54
D4T2	3	0	1	13.78	14.26
D4T2	4	0	0	1.61	2.11
D4T2	5	0	0	1.75	2.25
D4T2	6	0	0	0.6	1.1
D4T2	7	0	0	0.683298	1.225598
D4T2	8	0	0	0.7149	1.31065
D4T2	9	0	0	5.88601	6.48176
D4T2	10	0	0	2.082432	2.624732
D4T2	11	0	0	0.297875	0.893625
D4T2	12	0	0	0.178725	0.774475
D4T2	13	0	0	1.203415	1.799165
D4T2	14	NA	0	NA	0.43
D4T2	15	0	0	1.14384	1.73959
D4T2	16	NA	0	NA	0.24
D4T2	17	0	0	2.98	3.48
D4T2	18	0	0	2.65	3.15
D4T2	19	0	0	0.77	1.27
D4T2	20	0	0	2.68	3.18
D4T2	21	0	0	0.25	0.75
D5T1	1	0	1	9.08	9.58
D5T2	1	1	1	18.24	18.74
D6T1	1	0	1	12.11	12.61
D6T2	1	1	1	18.56	19.06
D6T3	1	1	1	33.87	34.37
D6T3	2	0	0	1.31	1.81
D6T4	1	1	1	26.25	26.62
D6T4	2	0	0	0.84	1.34
D6T4	3	0	0	0.76	1.26
D6T4	4	0	0	0.23	0.73
D6T4	5	1	1	22.22	22.34
D6T4	6	NA	0	NA	0.45
D6T4	7	NA	0	NA	0.54
D6T4	8	NA	0	NA	0.49
D6T4	9	NA	0	NA	0.35
D6T4	10	0	0	7.84	8.34
D6T5	1	1	1	10.22	10.72
D6T6	1	1	1	28.52	29.02
D6T6	2	0	0	0.34	0.84
D6T6	3	0	0	0.83	1.33
D6T6	4	0	0	1.31	1.81
D6T6	5	0	0	0.54	1.04
D6T6	6	NA	0	NA	0.02
D6T6	7	NA	0	NA	0.02
D6T6	8	NA	0	NA	0.02
D6T6	9	NA	0	NA	0.02
D6T6	10	NA	0	NA	0.02
D6T6	11	NA	0	NA	0.02
D6T6	12	NA	0	NA	0.02
D6T6	13	NA	0	NA	0.02
D6T6	14	NA	0	NA	0.02
